block_time,from,to,total_eth
2022-03-29T18:24:51+00:00,\x5a5444f6b5d511f61ff7c3152054d4030f3891ca,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-04-22T08:45:51+00:00,\x4d47d0ae9224b414a7f38c2e73569f65c987f848,\x53b6936513e738f44fb50d2b9476730c0ab3bfc1,1e-07
2022-03-30T18:21:45+00:00,\x61693261218e43ba985d21ba9e2bbf71cf90a0d7,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-19T08:23:55+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-04T03:58:45+00:00,\x49a545e6ddf6fdac01f1ae60d8476a7928850ce2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-31T17:52:30+00:00,\x6ae41009c2bfec2601c37a887672959bb77e4aa6,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-04-07T16:14:02+00:00,\xdd28fd615c9cdb516c73a0110de2bc28f1f83cb7,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-03-30T14:44:53+00:00,\x66973b6aafde73df3159ea0749b6a3f79c06e27e,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-05-19T02:20:41+00:00,\x08723392ed15743cc38513c4925f5e6be5c17243,\x49788613913050ce0da9c8313654cee3f4848a9e,3003.3
2022-03-30T00:26:31+00:00,\xae2af4ab10229bfb4a9966d167f82b2ceb3a1565,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-05-10T06:43:50+00:00,\x35fb6f6db4fb05e6a4ce86f2c93691425626d4b1,\xa58b6105e208cb23e7566d69120319e30a1a9ec4,4497.15
2022-04-02T16:31:36+00:00,\xc9b1af85e32f378121e8cbd2c6511c291cbc4462,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:39:58+00:00,\x196c682b1813cb335b185d0ab5f0a186b04d4633,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.00088
2022-04-05T03:44:28+00:00,\xdd28fd615c9cdb516c73a0110de2bc28f1f83cb7,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-05-16T02:33:32+00:00,\x3e37627deaa754090fbfbb8bd226c1ce66d255e9,\xe8b2b5a8a4174b256828fca0f40a8831521160e5,3003.3
2022-03-29T23:56:30+00:00,\x7c0220651dd3fd1f79972e7864ccd32bdcf84eb1,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.00020458
2022-03-29T16:49:40+00:00,\xab3eeae9e5d2fcea35722f6d17f4a1f4dbbe11d7,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-03-23T13:16:57+00:00,\x4976a4a02f38326660d17bf34b431dc6e2eb2327,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1.0569
